name,srid,active,hof,positions,start,end,letter,seasons,games,dob,dod
Eric Barton,BartEr20,False,False,LB,1999,2010,B,12,160,1977-09-29,NA
Greg Barton,BartGr20,False,False,QB,1969,1969,B,1,1,1946-07-14,NA
Harris Barton,BartHa00,False,False,T-G,1987,1996,B,10,138,1964-04-19,NA
Jim Barton,BartJi20,False,False,C,1960,1962,B,3,42,1934-06-12,2013-06-24
Karim Barton,BartKa00,True,False,OL,2014,2014,B,1,0,1991-12-13,NA
Kirk Barton,BartKi20,False,False,G,2008,2008,B,1,1,1984-11-04,NA
Hank Bartos,BartHa20,False,False,G,1938,1938,B,1,7,1913-05-20,1987-12-28
Joe Bartos,BartJo00,False,False,DB-HB,1950,1950,B,1,12,1926-11-18,1989-03-11
Mike Bartrum,BartMi00,False,False,TE-C,1993,2006,B,13,171,1970-06-23,NA
Joplo Bartu,BartJo01,False,False,LB,2013,2016,B,5,48,1990-10-03,NA
Dick Barwegen,BarwDi00,False,False,G,1947,1954,B,8,92,1922-12-25,1966-09-03
Connor Barwin,BarwCo99,True,False,DE,2009,2017,B,9,127,1986-10-15,NA
Carl Barzilauskas,BarzCa20,False,False,DT,1974,1979,B,6,70,1951-03-19,NA
Fritz Barzilauskas,BarzFr20,False,False,G,1947,1951,B,4,36,1920-06-13,1990-11-30
Brett Basanez,BasaBr00,False,False,QB,2006,2006,B,1,1,1983-05-11,NA
Nick Basca,BascNi20,False,False,HB,1941,1941,B,1,11,1917-12-04,1944-11-11
Brian Baschnagel,BascBr00,False,False,WR,1976,1984,B,9,129,1954-01-08,NA
Tarell Basham,BashTa00,True,False,DE,2017,2017,B,1,15,1994-03-18,NA
Mose Bashaw,BashMo20,False,False,T,1920,1920,B,1,7,1889-04-15,1933-06-05
Idrees Bashir,BashId20,False,False,DB,2001,2007,B,6,71,1978-12-07,NA
Myrt Basing,BasiMy20,False,False,B,1923,1927,B,5,41,1900-10-29,1957-04-29
Michael Basinger,BasiMi20,False,False,DE,1974,1974,B,1,1,1951-12-11,NA
Rich Baska,BaskRi20,False,False,LB,1976,1977,B,2,18,1952-02-19,NA
Hank Baskett,BaskHa00,False,False,WR,2006,2010,B,7,67,1982-09-04,NA
Michael Basnight,BasnMi00,False,False,RB,1999,1999,B,1,13,1977-09-03,NA
Mike Basrak,BasrMi20,False,False,C,1937,1938,B,2,15,1912-11-23,1973-12-18
Anthony Bass,BassAn20,False,False,DB,1998,1999,B,2,17,1975-03-27,NA
Ben Bass,BassBe00,False,False,DE,2012,2014,B,2,2,1989-10-12,NA
Bill Bass,BassBi20,False,False,B,1947,1947,B,1,14,NA,1967-09-28
David Bass,BassDa00,True,False,DE,2013,2017,B,6,64,1990-09-11,NA
Dick Bass,BassDi00,False,False,FB-HB,1960,1969,B,10,112,1937-03-15,2006-02-01
Don Bass,BassDo00,False,False,WR-TE,1978,1982,B,5,55,1956-03-11,1989-10-26
Glenn Bass,BassGl00,False,False,SE-WR,1961,1968,B,8,79,1939-04-12,NA
Mike Bass,BassMi20,False,False,DB,1967,1975,B,8,100,1945-03-31,NA
Norm Bass,BassNo20,False,False,DB,1964,1964,B,1,1,1939-01-21,NA
Robert Bass,BassRo20,False,False,LB,1995,1995,B,1,2,1970-11-10,NA
Henry Bassett,BassHe20,False,False,T-G,1924,1924,B,1,7,1899-09-01,1973-02-01
Maurice Bassett,BassMo00,False,False,FB,1954,1956,B,3,36,1931-04-26,1991-05-24
Eric Bassey,BassEr99,False,False,DB,2007,2008,B,2,18,1983-01-03,NA
Dick Bassi,BassDi20,False,False,G,1938,1947,B,6,57,1915-01-01,1973-08-12
Reds Bassman,BassRe20,False,False,HB,1936,1936,B,1,8,1913-02-25,2010-08-03
Bert Baston,BastBe20,False,False,E,1920,1920,B,1,8,1894-12-03,1979-11-15
Baron Batch,BatcBa00,False,False,RB,2012,2012,B,1,12,1987-12-21,NA
Charlie Batch,BatcCh00,False,False,QB,1998,2012,B,12,81,1974-12-05,NA
Don Batchelor,BatcDo20,False,False,T,1922,1923,B,2,3,1895-06-13,1971-09-24
Marv Bateman,BateMa20,False,False,P,1972,1977,B,7,81,1950-04-05,NA
Bill Bates,BateBi00,False,False,DB,1983,1997,B,15,217,1961-06-06,NA
D'Wayne Bates,BateDW00,False,False,WR,1999,2003,B,5,47,1975-12-04,NA
Daren Bates,BateDa00,True,False,LB,2013,2017,B,5,76,1990-11-27,NA
Houston Bates,BateHo00,True,False,OLB,2015,2016,B,2,24,1991-12-28,NA
Jackie Bates,BateJa99,False,False,DB,2010,2010,B,1,2,1986-10-12,NA
Mario Bates,BateMa00,False,False,RB,1994,2000,B,7,98,1973-01-16,NA
Michael Bates,BateMi00,False,False,RB,1993,2003,B,11,145,1969-12-19,NA
Patrick Bates,BatePa20,False,False,DB,1993,1996,B,3,44,1970-11-27,NA
Phil Bates,BatePh00,False,False,WR,2012,2014,B,3,1,1989-09-20,NA
Solomon Bates,BateSo20,False,False,LB,2003,2004,B,2,17,1982-04-18,NA
Ted Bates,BateTe20,False,False,LB,1959,1963,B,5,54,1936-09-22,NA
Trevor Bates,BateTr00,True,False,LB,2016,2016,B,1,1,1993-08-28,NA
Stan Batinski,BatiSt20,False,False,G-T,1941,1949,B,8,81,1917-03-04,1990-01-29
D'Anthony Batiste,BatiDA20,False,False,T,2007,2012,B,6,37,1981-03-29,NA
Michael Batiste,BatiMi20,False,False,G-T,1995,1998,B,2,8,1970-12-24,NA
John Batorski,BatoJo20,False,False,E,1946,1946,B,1,8,1920-09-27,1982-11-16
Marco Battaglia,BattMa00,False,False,TE,1996,2003,B,10,96,1973-01-25,NA
Matt Battaglia,BattMa20,False,False,LB,1987,1987,B,1,3,1965-09-25,NA
Pat Batteaux,BattPa00,False,False,WR,2001,2001,B,1,5,1978-04-18,NA
Danny Batten,BattDa99,False,False,LB,2011,2011,B,1,16,1987-12-08,NA
Pat Batten,BattPa20,False,False,FB,1964,1964,B,1,3,1941-12-05,NA
Arnaz Battle,BattAr00,False,False,WR,2003,2011,B,9,113,1980-02-22,NA
Jackie Battle,BattJa00,False,False,RB,2007,2014,B,8,96,1983-10-01,NA
Jim Battle,BattJi20,False,False,G,1963,1963,B,1,14,1938-02-20,NA
Jim Battle,BattJi21,False,False,T,1966,1966,B,1,6,1941-09-18,2004-01-18
Julian Battle,BattJu20,False,False,DB,2003,2004,B,2,26,1981-07-11,NA
Mike Battle,BattMi20,False,False,DB,1969,1970,B,2,28,1946-07-09,NA
Ralph Battle,BattRa20,False,False,DB,1984,1984,B,1,3,1961-06-15,NA
Ron Battle,BattRo20,False,False,TE,1981,1982,B,2,13,1959-03-27,NA
Tra Battle,BattTr00,False,False,DB,2008,2008,B,2,6,1985-01-05,NA
Ainsley Battles,BattAi20,False,False,DB,2000,2004,B,4,46,1978-11-06,NA
Cliff Battles,BattCl20,False,True,TB-FB-WB-DB,1932,1937,B,6,60,1910-05-01,1981-04-28
Bobby Batton,BattBo20,False,False,RB,1980,1980,B,1,8,1957-03-17,NA
Greg Baty,BatyGr00,False,False,TE,1986,1994,B,9,102,1964-08-28,NA
A.C. Bauer,BaueA.20,False,False,T,1923,1923,B,1,1,NA,NA
Hank Bauer,BaueHa00,False,False,RB,1977,1982,B,6,86,1954-07-15,NA
Herb Bauer,BaueHe20,False,False,E,1925,1925,B,1,2,1906-10-13,1980-07-30
John Bauer,BaueJo20,False,False,T,1954,1954,B,1,2,1932-03-11,2010-12-26
Sammy Baugh,BaugSa00,False,True,QB-TB,1937,1952,B,16,165,1914-03-17,2008-12-17
Tom Baugh,BaugTo20,False,False,C,1986,1989,B,4,45,1963-12-01,NA
Maxie Baughan,BaugMa00,False,False,LB,1960,1974,B,12,147,1938-08-03,NA
Harry Baujan,BaujHa20,False,False,E,1920,1921,B,2,11,1894-05-24,1976-12-30
Alf Bauman,BaumAl20,False,False,DT-T,1947,1950,B,5,34,1920-01-03,1979-03-02
Rashad Bauman,BaumRa20,False,False,DB,2002,2005,B,4,43,1979-05-07,NA
Zach Bauman,BaumZa00,False,False,RB,2014,2014,B,1,0,1992-07-24,NA
Buddy Baumann,BaumBu20,False,False,T-G,1922,1922,B,1,4,1900-08-04,1951-04-27
Charlie Baumann,baumacha01,False,False,K,1991,1992,B,3,25,1967-08-25,NA
Joe Billy Baumgardner,BaumJo20,False,False,HB,1948,1948,B,1,2,1925-02-16,2005-06-08
Bill Baumgartner,BaumBi20,False,False,E,1947,1947,B,1,2,1921-04-17,1981-09-01
Steve Baumgartner,BaumSt20,False,False,DE-LB,1973,1979,B,8,95,1951-03-26,NA
Bob Baumhower,BaumBo00,False,False,NT,1977,1986,B,9,130,1955-08-04,NA
De'Vante Bausby,BausDe00,True,False,DB,2016,2016,B,1,4,1993-01-15,NA
Frank Bausch,BausFr20,False,False,C,1934,1941,B,8,78,1908-06-14,1976-04-06
Jim Bausch,BausJi20,False,False,HB,1933,1933,B,2,7,1906-03-29,1974-07-09
David Bavaro,BavaDa20,False,False,LB,1990,1994,B,5,42,1967-03-27,NA
Mark Bavaro,BavaMa00,False,False,TE,1985,1994,B,9,126,1963-04-28,NA
Bibbles Bawel,BaweBi00,False,False,DB,1952,1956,B,3,36,1930-11-21,NA
Carl Bax,BaxxCa20,False,False,G-T,1989,1990,B,2,15,1966-01-05,NA
Rob Baxley,BaxlRo20,False,False,T,1992,1992,B,1,6,1969-03-14,NA
Brad Baxter,BaxtBr00,False,False,RB,1989,1995,B,7,94,1967-05-05,NA
Colin Baxter,BaxtCo00,False,False,C,2011,2012,B,3,12,1987-07-31,NA
Fred Baxter,BaxtFr00,False,False,TE,1993,2003,B,12,134,1971-06-14,NA
Gary Baxter,BaxtGa20,False,False,DB,2001,2006,B,6,62,1978-11-24,NA
Jarrod Baxter,BaxtJa00,False,False,FB,2002,2005,B,3,32,1979-03-09,NA
Jimmy Baxter,BaxtJi20,False,False,B,1923,1924,B,2,5,1892-10-01,1961-07-26
Lloyd Baxter,BaxtLl20,False,False,C,1948,1948,B,1,11,1923-01-18,2010-02-02
Alex Bayer,BayeAl00,False,False,TE,2014,2014,B,1,6,1990-11-08,NA
Martin Bayless,BaylMa20,False,False,DB,1984,1996,B,14,192,1962-10-11,NA
Rick Bayless,BaylRi20,False,False,RB,1989,1989,B,1,1,1964-10-15,NA
Tom Bayless,BaylTo20,False,False,DT,1970,1970,B,1,2,1947-12-17,NA
John Bayley,BaylJo20,False,False,T,1927,1927,B,1,7,1903-11-10,1969-04-05
Evan Baylis,BaylEv00,True,False,TE,2017,2017,B,1,1,1993-11-18,NA
John Baylor,BaylJo21,False,False,DB,1989,1993,B,5,74,1965-03-05,NA
Raymond Baylor,BaylRa20,False,False,DE,1974,1974,B,1,1,1947-03-07,NA
Tim Baylor,BaylTi20,False,False,DB,1976,1979,B,4,59,1954-05-23,NA
Chris Bayne,BaynCh20,False,False,DB,1997,1998,B,2,23,1975-03-22,NA
Craig Baynham,BaynCr00,False,False,HB,1967,1972,B,5,50,1944-07-24,NA
Reaves Baysinger,BaysRe20,False,False,E,1924,1924,B,1,1,1902-02-22,1994-12-04
Winnie Baze,BazeWi20,False,False,B,1937,1937,B,1,10,1914-07-14,2006-12-30
Fred Beach,BeacFr20,False,False,G,1926,1926,B,1,1,1897-02-08,1981-09-24
Pat Beach,BeacPa00,False,False,TE,1982,1993,B,11,160,1959-12-28,NA
Sanjay Beach,BeacSa00,False,False,WR,1989,1993,B,4,42,1966-02-21,NA
Walter Beach,BeacWa20,False,False,DB-RB,1960,1966,B,6,48,1935-01-31,NA
Kelvin Beachum,BeacKe00,True,False,T,2012,2017,B,6,75,1989-06-08,NA
Zane Beadles,BeadZa20,True,False,T,2010,2017,B,8,128,1986-11-19,NA
Jeremy Beal,BealJe00,False,False,DL,2012,2012,B,1,0,1987-12-02,NA
Norm Beal,BealNo20,False,False,DB,1962,1962,B,1,7,1940-06-16,2015-08-30
Bill Bealles,BealBi20,False,False,T,1987,1987,B,1,3,1963-06-11,NA
Alyn Beals,BealAl00,False,False,E-DE,1946,1951,B,6,77,1921-04-27,1993-08-11
Shawn Beals,BealSh20,False,False,WR,1988,1988,B,1,13,1966-08-16,NA
Tim Beamer,BeamTi20,False,False,DB,1971,1971,B,1,12,1948-04-06,NA
Autry Beamon,BeamAu20,False,False,DB,1975,1981,B,7,100,1953-11-12,NA
Willie Beamon,BeamWi20,False,False,DB,1993,1996,B,4,49,1970-06-14,NA
Byron Beams,BeamBy20,False,False,T-DT,1959,1961,B,3,17,1929-09-08,1992-11-14
Bubba Bean,BeanBu00,False,False,RB,1976,1979,B,3,40,1954-01-26,NA
Robert Bean,BeanRo20,False,False,DB,2000,2002,B,3,32,1978-01-06,NA
Ed Beard,BearEd20,False,False,LB,1965,1972,B,8,97,1939-12-09,NA
Tom Beard,BearTo20,False,False,C,1972,1972,B,1,12,1948-06-10,NA
Aaron Beasley,BeasAa20,False,False,DB,1996,2004,B,9,121,1973-07-07,NA
Chad Beasley,BeasCh20,False,False,T,2003,2003,B,1,8,1978-11-13,NA
Cole Beasley,BeasCo00,True,False,WR,2012,2017,B,6,87,1989-04-26,NA
Fred Beasley,BeasFr00,False,False,FB,1998,2005,B,8,114,1974-09-18,NA
John Beasley,BeasJo20,False,False,G,1923,1923,B,1,5,1900-10-24,1978-11-02
John Beasley,BeasJo00,False,False,TE,1967,1974,B,8,97,1945-04-06,NA
Terry Beasley,BeasTe00,False,False,WR,1972,1975,B,3,29,1950-02-05,NA
Tom Beasley,BeasTo20,False,False,DE-DT,1978,1986,B,9,105,1954-08-11,NA
Vic Beasley,BeasVi00,True,False,OLB,2015,2017,B,3,46,1992-07-08,NA
Jon Beason,BeasJo99,False,False,LB,2007,2015,B,10,93,1985-01-14,NA
C.J. Beathard,BeatC.00,True,False,QB,2017,2017,B,1,7,1993-11-16,NA
Pete Beathard,BeatPe00,False,False,QB,1964,1973,B,11,110,1942-03-07,NA
Bob Beattie,BeatBo20,False,False,T,1927,1930,B,3,17,1902-10-16,1983-06-03
Chuck Beatty,BeatCh20,False,False,DB,1969,1972,B,5,34,1946-02-08,NA
Ed Beatty,BeatEd20,False,False,C-LB,1955,1961,B,8,80,1932-04-06,2008-06-07
Will Beatty,BeatWi20,True,False,T,2009,2017,B,8,89,1985-03-02,NA
Al Beauchamp,BeauAl20,False,False,LB,1968,1976,B,9,125,1944-06-25,NA
Joe Beauchamp,BeauJo20,False,False,DB,1966,1975,B,10,117,1944-04-11,NA
Doug Beaudoin,BeauDo20,False,False,DB,1976,1981,B,6,59,1954-05-15,NA
Clayton Beauford,BeauCl20,False,False,WR,1987,1987,B,1,1,1963-03-01,NA
Steve Beauharnais,BeauSt00,False,False,ILB,2013,2014,B,2,5,1990-05-02,NA
Jim Beaver,BeavJi20,False,False,DT,1962,1962,B,1,1,1938-05-18,NA
Aubrey Beavers,BeavAu20,False,False,LB,1994,1996,B,3,39,1971-08-30,NA
Scott Beavers,BeavSc20,False,False,G,1990,1990,B,1,2,1967-02-17,NA
Willie Beavers,BeavWi00,True,False,OT,2016,2016,B,1,2,1993-10-02,NA
Gary Beban,BebaGa00,False,False,QB,1968,1969,B,2,5,1946-08-05,NA
Nick Bebout,BeboNi20,False,False,T,1973,1980,B,8,97,1951-05-05,NA
Brett Bech,BechBr00,False,False,WR,1997,1999,B,3,34,1971-08-20,NA
Anthony Becht,BechAn00,False,False,TE,2000,2011,B,11,167,1977-08-08,NA
Hub Bechtol,BechHu20,False,False,E,1947,1949,B,3,38,1926-04-20,2004-10-22
Braden Beck,BeckBr20,False,False,K,1971,1971,B,1,2,1944-01-12,NA
Carl Beck,BeckCa20,False,False,T-G,1921,1921,B,1,6,1899-06-26,1963-04-16
Clarence Beck,BeckCl20,False,False,T-G,1925,1925,B,1,7,1896-03-13,NA
John Beck,BeckJo00,False,False,QB,2007,2011,B,2,9,1981-08-21,NA
Jordan Beck,BeckJo20,False,False,LB,2006,2007,B,2,26,1983-04-18,NA
Ken Beck,BeckKe20,False,False,DT-DE,1959,1960,B,2,24,1935-09-03,2006-03-05
Marty Beck,BeckMa20,False,False,B,1921,1926,B,4,11,1900-01-02,1968-06-15
Ray Beck,BeckRa20,False,False,G,1952,1957,B,4,46,1931-03-17,2007-01-09
Dave Becker,BeckDa20,False,False,DB,1980,1980,B,1,11,1957-01-15,NA
Doug Becker,BeckDo20,False,False,LB,1978,1978,B,2,9,1956-06-27,NA
Johnnie Becker,BeckJo21,False,False,T-G-B,1926,1929,B,4,19,1903-02-10,1947-09-17
Kurt Becker,BeckKu20,False,False,G,1982,1990,B,9,94,1958-12-22,NA
Wayland Becker,BeckWa20,False,False,E,1934,1939,B,7,54,1910-11-02,1984-12-01
Jack Beckett,BeckJa20,False,False,T,1920,1922,B,2,3,1892-01-05,1981-07-26
Rogers Beckett,BeckRo20,False,False,DB,2000,2004,B,5,71,1977-01-31,NA
Odell Beckham,BeckOd00,True,False,WR,2014,2017,B,4,47,1992-11-05,NA
Tony Beckham,BeckTo20,False,False,DB,2002,2007,B,5,56,1978-10-01,NA
Ian Beckles,BeckIa20,False,False,G,1990,1998,B,9,126,1967-07-20,NA
Art Beckley,BeckAr20,False,False,B,1926,1926,B,1,6,1901-09-01,1965-01-06
Brad Beckman,BeckBr00,False,False,TE,1988,1989,B,2,24,1964-12-31,1989-12-18
Ed Beckman,BeckEd00,False,False,TE,1977,1984,B,8,107,1955-01-02,NA
Tom Beckman,BeckTo21,False,False,DE,1972,1972,B,1,2,1950-09-21,NA
Travis Beckum,BeckTr00,False,False,TE,2009,2012,B,4,48,1987-01-24,NA
Darry Beckwith,BeckDa99,False,False,LB,2010,2010,B,1,1,1987-05-15,NA
John Beckwith,BeckJo22,False,False,HB,1920,1920,B,1,3,1900-02-06,1974-12-31
Kendell Beckwith,BeckKe00,True,False,ILB,2017,2017,B,1,16,1994-12-02,NA
Nick Becton,BectNi00,True,False,OT,2013,2015,B,4,6,1990-02-11,NA
Brad Bedell,BedeBr20,False,False,T,2000,2006,B,4,40,1977-02-12,NA
Gene Bedford,BedfGe20,False,False,E,1925,1926,B,2,3,1896-12-02,1977-10-06
Vance Bedford,BedfVa20,False,False,DB,1982,1982,B,1,0,1958-08-20,NA
Chuck Bednarik,BednCh00,False,True,LB-C,1949,1962,B,14,169,1925-05-01,2015-03-21
Al Bedner,BednAl20,False,False,G-T,1924,1926,B,3,23,1898-07-09,1988-07-12
Tom Bedore,BedoTo20,False,False,G-LB,1944,1944,B,1,2,1925-11-17,NA
Hal Bedsole,BedsHa00,False,False,TE,1964,1966,B,3,24,1941-12-21,2017-12-22
Don Beebe,BeebDo00,False,False,WR,1989,1997,B,9,116,1964-12-18,NA
Keith Beebe,BeebKe20,False,False,B,1944,1944,B,1,5,1921-03-16,1998-07-13
Earl Beecham,BeecEa20,False,False,RB,1987,1987,B,1,1,1965-09-08,NA
Willie Beecher,beechwil01,False,False,K,1987,1987,B,1,3,1963-04-14,NA
Frank Beede,BeedFr20,False,False,G-C,1996,2000,B,4,47,1973-05-01,NA
Bruce Beekley,BeekBr20,False,False,LB,1980,1980,B,1,15,1956-12-15,NA
Ferris Beekley,BeekFe20,False,False,B-G,1921,1921,B,1,2,1897-02-27,1986-06-15
Josh Beekman,BeekJo20,False,False,C-G,2007,2009,B,3,28,1983-06-30,NA
Bob Beemer,BeemBo20,False,False,DE,1987,1987,B,1,2,1963-05-14,NA
Tom Beer,BeerTo00,False,False,TE-G,1967,1972,B,6,79,1944-12-21,NA
Tom Beer,BeerTo20,False,False,LB-RB,1994,1996,B,3,41,1969-03-27,NA
Terry Beeson,BeesTe20,False,False,LB,1977,1982,B,6,82,1955-09-19,NA
Charlie Behan,BehaCh20,False,False,E,1942,1942,B,1,9,1920-08-04,1945-05-18
Bull Behman,BehmBu20,False,False,T-G,1924,1931,B,7,90,1900-01-15,1950-03-24
Mark Behning,BehnMa20,False,False,T,1986,1986,B,1,16,1961-09-26,NA
Dave Behrman,BehrDa00,False,False,C-T,1963,1967,B,3,39,1941-11-09,2014-12-09
Tom Beier,BeieTo20,False,False,DB,1967,1969,B,2,28,1945-06-23,NA
Larry Beil,BeilLa20,False,False,T,1948,1948,B,1,9,1923-10-25,1986-10-25
Ed Beinor,BeinEd20,False,False,T-DE,1940,1942,B,4,33,1917-11-16,1991-01-06
Jim Beirne,BeirJi00,False,False,WR-TE,1968,1976,B,9,94,1946-10-15,NA
Monty Beisel,BeisMo20,False,False,LB,2001,2009,B,10,119,1978-08-20,NA
Randy Beisler,BeisRa20,False,False,G-DT-DE-T,1966,1975,B,10,118,1944-10-24,NA
Bill Belanich,BelaBi20,False,False,T-E,1927,1929,B,3,19,1903-05-19,1960-08-13
Jovan Belcher,BelcJo00,False,False,LB,2009,2012,B,4,59,1987-07-24,2012-12-01
Kevin Belcher,BelcKe20,False,False,C-G,1983,1984,B,2,32,1961-02-23,2003-06-28
Kevin Belcher,BelcKe21,False,False,T,1985,1987,B,2,5,1961-11-09,1997-04-12
Bunny Belden,BeldBu20,False,False,B,1927,1931,B,3,26,1906-10-08,1978-09-04
Les Belding,BeldLe20,False,False,E-B,1925,1925,B,1,1,1900-12-05,NA
Steve Belichick,BeliSt20,False,False,FB,1941,1941,B,1,6,1919-01-07,2005-11-19
Chuck Belin,BeliCh20,False,False,G,1994,1996,B,3,21,1970-10-27,NA
Bill Belk,BelkBi20,False,False,DE-DT,1968,1974,B,7,87,1946-02-19,NA
Rocky Belk,BelkRo20,False,False,WR,1983,1983,B,1,10,1960-06-20,2010-07-15
Veno Belk,BelkVe20,False,False,TE,1987,1987,B,1,2,1963-03-07,NA
Albert Bell,BellAl20,False,False,WR,1988,1988,B,1,5,1964-04-23,NA
Anthony Bell,BellAn20,False,False,LB,1986,1992,B,7,102,1964-07-02,NA
Beau Bell,BellBe99,False,False,LB,2008,2008,B,1,5,1986-05-26,NA
Bill Bell,BellBi20,False,False,K,1971,1973,B,3,31,1947-12-09,NA
Billy Bell,BellBi21,False,False,DB,1989,1991,B,2,12,1961-01-16,NA
Blake Bell,BellBl00,True,False,TE,2015,2017,B,3,40,1991-08-07,NA
Bob Bell,BellBo20,False,False,DT-DE,1971,1978,B,8,100,1948-01-25,NA
Bobby Bell,BellBo00,False,True,LB-DE,1963,1974,B,12,168,1940-06-17,NA
Bobby Bell,BellBo21,False,False,LB,1984,1987,B,2,18,1962-02-07,NA
Brandon Bell,BellBr01,True,False,OLB,2017,2017,B,1,3,1995-01-09,NA
Byron Bell,BellBy00,True,False,T,2011,2017,B,6,90,1989-01-17,NA
Carlos Bell,BellCa20,False,False,TE,1971,1971,B,1,1,1947-09-21,NA
Coleman Bell,BellCo20,False,False,TE,1995,1995,B,1,11,1970-04-22,NA
Demetress Bell,BellDe20,False,False,T,2009,2012,B,4,40,1984-05-03,NA
Ed Bell,BellEd20,False,False,G-T,1946,1949,B,4,42,1921-09-20,1990-12-06
Eddie Bell,BellEd21,False,False,DB-LB,1955,1960,B,5,62,1931-03-25,2009-11-16
Eddie Bell,BellEd00,False,False,WR,1970,1976,B,7,86,1946-09-13,NA
Gordon Bell,BellGo00,False,False,RB,1976,1978,B,3,30,1953-12-25,NA
Greg Bell,BellGr00,False,False,RB,1984,1990,B,8,80,1962-08-01,NA
Henry Bell,BellHe00,False,False,HB,1960,1960,B,1,10,NA,NA
Jacob Bell,BellJa20,False,False,G,2004,2011,B,8,109,1981-03-02,NA
Jason Bell,BellJa21,False,False,DB,2001,2006,B,6,82,1978-04-01,NA
Jerry Bell,BellJe00,False,False,TE,1982,1986,B,5,60,1959-03-07,NA
Joe Bell,BellJo20,False,False,DE,1979,1979,B,1,1,1956-04-20,NA
Joique Bell,BellJo01,False,False,RB,2010,2016,B,8,75,1986-08-04,NA
Josh Bell,BellJo21,False,False,DB,2008,2009,B,2,13,1985-01-08,NA
Kahlil Bell,BellKa00,False,False,RB,2009,2013,B,5,30,1986-12-10,NA
Kay Bell,BellKa20,False,False,T-G,1937,1942,B,2,21,1914-10-14,1994-10-27
Ken Bell,BellKe01,False,False,RB-WR,1986,1989,B,4,59,1964-11-16,NA
Kendrell Bell,BellKe20,False,False,LB,2001,2007,B,7,90,1980-07-02,NA
Kerwin Bell,BellKe00,False,False,QB,1996,1996,B,1,1,1965-06-15,NA
Kevin Bell,BellKe21,False,False,WR,1978,1978,B,1,9,1955-03-14,NA
Le'Veon Bell,BellLe00,True,False,RB,2013,2017,B,5,62,1992-02-18,NA
Len Bell,BellLe20,False,False,DB,1987,1987,B,1,1,1964-03-14,NA
Marcus Bell,BellMa21,False,False,LB,2000,2002,B,3,45,1977-07-19,NA
Marcus Bell,BellMa20,False,False,DT,2001,2006,B,6,86,1979-06-01,NA
Mark Bell,BellMa22,False,False,DE,1979,1984,B,5,64,1957-08-30,NA
Mark Bell,BellMa23,False,False,WR,1980,1981,B,2,12,1957-06-14,NA
Mike Bell,BellMi20,False,False,DE,1979,1991,B,12,135,1957-08-30,NA
Mike Bell,BellMi00,False,False,RB,2006,2010,B,6,53,1983-04-23,NA
Myron Bell,BellMy20,False,False,DB,1994,2001,B,8,112,1971-09-15,NA
Nick Bell,BellNi00,False,False,RB,1991,1993,B,3,35,1968-08-19,NA
Richard Bell,BellRi00,False,False,RB,1990,1990,B,1,16,1967-05-03,NA
Rick Bell,BellRi20,False,False,RB,1983,1983,B,1,14,1960-10-18,NA
Ricky Bell,BellRi01,False,False,RB,1977,1982,B,6,64,1955-04-08,1984-11-28
Ricky Bell,BellRi21,False,False,DB,1996,1998,B,3,31,1974-10-02,2011-02-17
Shonn Bell,BellSh20,False,False,TE,1999,1999,B,1,2,1974-10-25,NA
Tatum Bell,BellTa00,False,False,RB,2004,2008,B,5,54,1981-03-02,NA
Theo Bell,BellTh00,False,False,WR,1976,1985,B,9,127,1953-12-21,2006-06-21
Todd Bell,BellTo00,False,False,DB-LB,1981,1989,B,8,103,1958-11-28,2005-03-16
Tyrone Bell,BellTy20,False,False,DB,1999,1999,B,1,1,1974-10-20,NA
Vonn Bell,BellVo00,True,False,SS,2016,2017,B,2,32,1994-12-12,NA
William Bell,BellWi20,False,False,RB,1994,1996,B,3,39,1971-07-22,NA
Yeremiah Bell,BellYe20,False,False,DB,2004,2013,B,10,142,1978-03-03,NA
Jay Bellamy,BellJa22,False,False,DB,1994,2007,B,14,179,1972-07-08,NA
Josh Bellamy,BellJo02,True,False,WR,2012,2017,B,6,59,1989-05-18,NA
Mike Bellamy,BellMi21,False,False,WR,1990,1990,B,1,6,1966-06-28,NA
Ronald Bellamy,BellRo00,False,False,WR,2004,2004,B,1,2,1981-12-28,NA
Vic Bellamy,BellVi20,False,False,DB,1987,1987,B,1,3,1963-06-02,NA
Bob Bellinger,BellBo22,False,False,G,1934,1935,B,2,18,1913-01-20,1955-08-27
Rodney Bellinger,BellRo20,False,False,DB,1984,1986,B,3,42,1962-06-04,NA
Mark Bellini,BellMa00,False,False,WR,1987,1988,B,2,25,1964-01-19,NA
Joe Bellino,BellJo00,False,False,HB,1965,1967,B,3,35,1938-03-13,NA
Greg Bellisari,BellGr20,False,False,LB,1997,1998,B,2,16,1975-06-21,NA
B.J. Bello,BellB.00,True,False,LB,2017,2017,B,1,16,1994-10-31,NA
Nick Bellore,BellNi01,True,False,LB,2011,2017,B,7,107,1989-05-12,NA
George Belotti,BeloGe20,False,False,C,1960,1961,B,3,20,1934-11-29,2009-06-15
Ceasar Belser,BelsCe20,False,False,DB,1968,1974,B,5,60,1944-09-13,2016-03-05
Jason Belser,BelsJa20,False,False,DB,1992,2002,B,11,173,1970-05-28,NA
Horace Belton,BeltHo00,False,False,RB,1978,1980,B,3,46,1955-07-16,NA
Willie Belton,BeltWi00,False,False,RB,1971,1974,B,4,36,1948-12-12,1992-12-07
