srid,dob,dod
OlszJo00,1930-12-21,1996-12-08
MungJa00,1978-02-13,
BunyJo20,1905-09-07,1989-09-13
MoriLa00,1958-04-24,
RussKe20,1935-11-02,2014-03-11
MyerBr20,1929-02-14,
SchoMa01,1943-09-23,
PyleMi00,1939-07-18,2015-07-29
SmitDo26,1963-02-04,
GrifRe20,1893-03-30,1983-06-12
AtkiGe21,1932-04-10,2015-01-21
KooxYo00,1994-08-03,
HirsSt20,1962-05-18,
AckeRi20,1959-06-16,
LewiCh00,1971-10-05,
MoorLe21,1935-09-16,
SchwSt20,1981-06-21,
StepBr20,1956-10-31,
WardCh20,1955-12-16,
DamkMa20,1952-01-08,
SchwJo20,1927-12-23,2005-06-09
McNuPa20,1902-08-09,1985-09-27
HallWi21,1950-03-11,
HoagJo20,1918-02-08,1991-01-04
RibaFr20,1915-01-15,1976-10-01
GayxCh20,1900-01-08,1978-03-11
PoweAn20,1969-06-05,
MoorCl00,1982-09-24,
WoitJo20,1946-06-29,
MyrtCh20,1945-02-06,
GreeGl20,1896-02-05,1970-07-01
HoltIs20,1962-10-04,
HarrMa02,1989-03-01,
OrviHe20,1946-10-17,
AdamMi01,1949-10-04,
RaimBe20,1925-01-23,
SpaeMa00,1983-11-24,
WillRo01,1975-04-27,
MantJo20,,
LeexGa00,1965-02-12,
RussDa21,1964-12-14,
WillKe23,1970-02-17,
MattRo20,1963-08-08,
ThomCh04,1989-06-10,
ZawaJe20,1946-01-03,2008-09-03
ChriJe00,1969-02-03,
BeilLa20,1923-10-25,1986-10-25
WiseGa20,1938-08-24,
HowaLe20,1949-06-16,
JohnTy20,1971-09-04,
LeigBr20,1978-10-02,
RobeRe20,1900-08-23,1945-06-27
RappHe20,1905-07-21,1983-07-21
PittCh00,1948-01-22,
LansJi20,1930-08-19,1989-01-17
SandJa21,1983-11-11,
FreeJa20,1922-01-20,1970-07-23
LockBr00,1986-10-07,
HollGu20,1945-10-23,
CalvTo21,1926-06-13,
PoagRa00,1940-11-14,1997-09-23
CornBo20,1949-03-07,
AndeAr21,1936-10-09,
WilsBe20,1970-08-17,
MalaRy20,1962-01-10,
RogeSh99,1979-03-12,
DaviFr01,1986-01-15,
RaffBi20,1907-08-26,1982-07-24
SpenTi00,1960-12-10,
KozlMi20,1956-02-24,
SmitPe20,1951-03-29,
SmitRo06,1992-01-10,
CookJo20,1958-11-23,
ThunJo00,1992-11-19,
ConrCh20,1975-05-27,
FeisLo20,,1926-11-12
FreeSo20,1951-02-19,
SpenWi00,1953-01-28,
NugeCl20,1899-11-09,1950-12-20
NassCa00,1993-04-12,
HallCh22,1970-04-25,
WashFr21,1967-07-11,1990-12-21
GrayDa00,1939-06-06,2017-07-29
KadzRo20,1949-02-27,
WateBr55,1977-02-18,
BryaHu00,1946-02-10,
RhonEa20,1953-08-20,
LauePe20,1897-10-14,1950-07-09
LewiMo00,1969-10-21,
GiblAn20,1961-04-30,
BarwCo99,1986-10-15,
ReynRo20,1981-05-20,
AhreDa20,1958-12-05,
GlovRi20,1950-02-06,
KerrGe20,1894-11-10,1980-12-08
BarcDo00,1989-04-18,
JoneLy20,1959-03-18,
KarsGe20,1924-02-09,2002-12-05
FulcMo20,1976-10-15,
HillRo20,1959-03-14,
WhitAn00,1944-10-07,
SquaDa00,1989-02-06,
SpagJo00,1957-08-01,
JackBi20,1960-07-01,
PerrVe20,1953-09-22,
KennEd00,1973-01-20,
SharMo20,1980-03-10,
AlleBu00,1937-07-11,
WillTo21,1978-09-04,2014-01-06
HedbRa00,1954-12-27,
DaviBo23,1927-05-03,2010-06-12
GardBi20,1884-01-23,1965-06-15
RobeMi00,1977-09-18,
CarlDa20,1953-06-24,1994-04-28
TaylTo99,1984-07-21,
BumpMi00,1985-12-13,
SmitHa20,1935-10-03,
CarrAl20,1962-05-25,
HawkBi20,1966-05-09,
GoodHa21,1919-03-18,2007-03-25
ClemDu20,1974-05-23,
GrifSt20,1964-08-14,
HarrCh20,1982-08-06,
FortKh00,1992-03-24,
HollSt21,1964-08-23,
DelaDa20,1903-10-30,1980-12-25
LassIk00,1940-11-15,
PlanTo20,1900-06-20,1979-02-10
LawrMa20,1982-06-21,
RiveJa20,1945-09-22,
ChurRi20,1958-03-14,
RiskEd20,1908-04-05,1969-01-22
AddiMa00,1987-09-06,
MeamTi20,1962-10-27,
BaueHa00,1954-07-15,
CarrTo20,1942-04-06,
GurlBu20,1978-04-07,
TiggCa20,1968-11-10,
SchwTe20,1901-10-07,1939-05-05
FitzFr21,1891-08-21,1942-05-06
CahiRo20,1915-04-25,1992-09-06
BlevDa20,1976-04-21,
ThomDo26,1985-09-25,
WhitWi20,1912-04-30,1968-04-00
SmitTe01,1991-04-11,
AndeWi00,1975-07-11,
HarrMi20,1966-08-30,
DilgKe00,1971-02-02,
HenrWa00,1954-10-30,
HollSt20,1957-09-28,
HampRo00,1969-04-03,
McKeKe01,1964-07-09,
RasmWa20,1942-06-07,
RussAn00,1941-10-29,
JohnDo99,1985-11-07,
WilcDa01,1977-03-23,
SchuSt00,1951-03-15,
ScotJa01,1945-07-20,
DixoRi00,1993-08-24,
HackJo21,1958-09-29,
LassKw20,1969-12-03,
franctod01,1980-02-13,
WhitEd00,1947-04-04,
ScarSa00,1949-06-24,
BartJo01,1990-10-03,
TarrBo20,1914-04-04,1991-12-16
MorrDo22,1949-12-16,
AdamPe20,1951-05-04,
MadiJo20,1899-03-12,1976-01-05
PearJi20,1918-07-26,2005-03-15
ONeiTi20,1898-10-24,1984-12-06
WalsBo00,1928-10-17,1987-10-07
HeilCh20,1915-01-25,1966-02-23
WhitRa20,1901-03-06,1997-11-27
KonoBo20,1934-08-19,1982-03-06
CataAl20,1972-01-20,
HolmJo20,,
FloyDo00,1938-07-10,1980-03-09
WarnCh00,1940-04-14,
KaliDa20,1947-09-02,
KohlDu20,1893-09-05,1931-01-28
KempRa20,1907-04-07,2002-03-26
SmitRe23,1896-03-08,1972-01-18
MackRi20,1971-02-22,
SpirGr20,1974-08-12,
ThomCo20,1972-11-11,
HardGr20,1960-07-31,
GreeL.00,1946-09-08,2013-09-29
ZollMa20,1900-11-12,1967-10-00
BromJa00,1992-05-28,
HallHa20,1914-04-29,1992-08-04
DaviJi00,1927-12-02,2007-07-29
WhitWi25,1982-08-02,
FeldTo20,1962-08-07,
SamxMi00,1990-01-07,
HarrAr21,1982-09-20,
AskaJo00,1972-07-14,
BlonTo20,1910-10-25,1978-12-15
PopeMa20,1970-10-29,
LouiAl00,1993-10-13,
CalhBr00,1984-05-08,
ChamFr20,1978-01-02,2013-11-17
TorrLe20,1982-01-04,
RyanRo20,1932-07-05,2011-11-03
TandGe20,1893-11-27,1969-05-11
WhelTo20,1894-01-03,1957-06-26
OeleJo20,1916-02-07,1989-02-09
FoxxDa00,1991-03-17,
BordLe20,1910-04-08,1981-05-19
WalkCo00,1973-06-04,
FinlJa20,1921-09-08,2014-03-06
HickW.00,1942-07-14,
RambKe00,1978-10-04,
MyerCh20,1981-09-15,
WildGa20,1981-06-08,
CrosDa20,1940-06-08,
SloaDa00,1972-06-08,
FerrOr20,1932-09-24,
BrowWi00,1942-03-21,
MontTy01,1993-01-22,
JoneHe21,1982-04-15,
HarvRi21,1966-09-11,
BarnLi20,1976-04-19,
VeriGa20,1963-02-27,
SpieAd20,1898-07-12,1970-05-28
WimbDe00,1980-08-26,
HutcSt00,1977-11-01,
WalkTr00,1992-08-05,2016-03-18
ForsJu00,1985-10-14,
PittRa20,1901-12-23,1977-07-05
MorrGe21,1931-03-19,2007-12-10
CoutBr00,1984-09-29,
McNeGe00,1962-03-27,
BerrEd20,1922-10-14,1992-07-03
AdamKe20,1979-11-22,
BullRa00,1989-12-16,
TaggJe00,1950-04-12,
KasaMi20,1922-11-20,1994-10-20
PollRe20,1911-12-05,1993-08-07
HeckSt00,1943-04-12,
WatsEd20,1945-05-08,2009-08-15
GallFr20,1943-03-02,
KimbJo00,1954-08-12,
HamiDe20,1981-11-30,
SchnJo20,1889-03-28,1957-05-13
RatiJo20,1914-08-04,1942-10-21
PricDe21,1972-08-12,
SaueEd20,1898-11-27,1980-02-15
GarrLe21,1948-05-02,2017-06-16
LeexDa21,1943-11-08,
JennJi20,1933-11-14,2007-10-29
HannRy00,1980-02-24,
GoodRo00,1941-01-09,2013-12-12
SmitGa01,1991-10-09,
CrafDo00,1959-11-19,
ReidAn20,1954-02-26,
WallFr00,1928-04-12,1999-11-04
SchmHe00,1935-09-28,
ChapDa20,1947-03-30,
SimmBo21,1938-09-03,
WindBo00,1942-12-19,
BellLe00,1992-02-18,
WrigFe20,1978-09-30,
WeddEr99,1985-01-04,
KushRo20,1956-12-29,
SharSh00,1968-06-26,
HoluE.00,1938-01-05,
BrowRa21,1936-09-07,2017-12-26
WhitBe20,1971-08-20,
LandKe20,1975-10-25,
HickKe00,1971-08-20,
LowrOr20,1961-08-14,
FamiGa20,1913-11-28,1986-07-13
StocRa20,1962-12-20,
FlowKe00,1964-03-14,
MeadEd00,1937-08-10,
ClarBi21,1892-02-08,1946-05-10
BledDr00,1972-02-14,
ZoggJo20,1960-11-19,
ReicFr00,1961-12-04,
VancJo20,1905-09-16,1978-07-04
ParkBr00,1992-05-30,
JoynL.20,1930-08-15,2001-04-22
HendDu20,1896-01-19,1953-12-13
BodiRu00,1992-06-30,
PoweRi20,1970-11-30,
BoldGa20,1962-02-13,
ArriRi00,1947-02-26,
JameAr20,1964-12-31,
StacBi00,1936-07-30,
RiveRo20,1962-01-07,
McGeCa20,1956-07-15,
RogeTy20,1974-03-09,
IppoTo20,1917-09-19,1951-11-12
WallMa00,1990-04-22,
FitzJo21,1948-04-16,
WilsTr00,1984-02-11,
WildJa00,1958-05-12,
SmitWi22,1964-08-06,
JoneJ.00,1952-04-16,2009-07-09
AmukPr00,1989-06-06,
BrooSt20,1971-06-02,
MullBr20,1901-06-12,1962-05-17
SeubRi20,1979-03-30,
HensDi20,1927-09-08,2015-03-07
FletBr00,1979-03-23,
GardGu20,1895-10-15,1974-12-26
linderia01,1977-01-20,
MastJo20,1926-03-10,1987-10-02
WilsTr21,1970-11-22,
ColeMo20,1957-11-04,
HaydHe20,1913-09-26,1969-08-27
SummDo20,1961-02-22,
WalkGa00,1973-02-28,
StewCh20,1890-07-08,1965-12-18
GoebPa20,1901-05-28,1988-01-26
RandAn00,1979-08-17,
HillJa01,1994-05-26,
JackBi00,1959-09-13,
HoldLe20,1923-10-10,
McGuKa00,1974-01-16,
MoraEr20,1960-06-10,
BraxDa20,1965-05-25,
DennMa21,1965-04-15,
RubyMa20,1920-06-09,2002-01-03
WendKe20,1910-01-29,1982-01-19
KoleMi20,1948-01-31,
BradDa20,1917-09-27,1980-08-02
PromVi00,1938-06-08,
erxlerus01,1957-01-13,
JenkCu20,1981-01-20,
BrooEt20,1972-04-27,
BrokFr20,1893-01-17,1971-12-13
MaddTo00,1971-09-02,
WoodDo21,1985-07-27,
WashLi20,1960-10-21,
BateDa00,1990-11-27,
TuckDi20,1913-09-29,1974-12-25
SmitHo20,1958-11-05,
NovaJa01,1953-06-06,
ArmsJo20,1897-08-10,1960-04-30
FlanBi20,1901-04-09,
LyncCa20,,
ClinJa20,1960-03-13,
MorgBo22,1915-10-24,1988-01-08
HallMa01,1990-04-24,
MortJa20,1922-07-22,1983-12-17
ReevJo20,1975-02-23,
GoldJa20,1977-01-28,
SlayDa00,1991-01-01,
SnelMa00,1941-08-18,
DaviJa24,1979-04-26,
BradCa20,1960-04-27,
CurrHa20,1894-06-02,1976-06-28
DaviCh22,1983-01-27,
FrieMi20,1969-03-20,2015-12-31
KeefJa20,1900-05-01,1966-08-03
ThomMa22,1973-10-19,
NeigBi00,1940-02-04,2012-04-30
JohnIs01,1992-05-16,
BergBr20,1946-08-08,
CoxxRo20,1968-03-29,
AlleLy20,1898-12-20,1958-05-31
WilsMa00,1957-02-15,
TurbRo00,1989-12-02,
StanHe20,1920-08-24,1975-03-11
NuttTo20,1971-06-08,
LawrAm20,1958-01-09,
YaryRo00,1946-07-16,
JordLe00,1941-04-27,
koenemic01,1982-07-13,
BrenWi20,1893-02-12,1950-10-19
McCuJi20,1936-05-19,2016-02-13
McDoCl99,1987-01-06,
MillTe00,1956-01-07,
HammKi00,1944-10-12,2017-07-16
DougHu00,1971-08-23,
BrahTo20,1951-10-23,
HaasAn00,1974-07-10,
DeanHa20,1922-10-30,2011-02-12
KaraGe20,1917-02-22,2008-12-05
TurnBa01,1987-01-07,
FlynMa00,1985-06-20,
BuehGe20,1947-08-10,
JoneBr22,1962-12-26,
AlexDa00,1986-08-07,
DaviVo99,1988-05-27,
CartKe20,1950-05-25,
ChevRa20,1976-06-06,
NelsAn00,1933-05-27,
IrviMa20,1964-10-12,
BlyeRo00,1943-12-29,
RobiDu20,1982-04-11,
CownJo20,1962-05-23,
HastJa00,1965-05-23,
AshmRo20,1899-07-09,1948-02-26
RineCh20,1985-05-04,
ThomGe21,1899-09-26,1939-09-19
KinsCa20,1919-10-20,2006-07-27
CareVe20,1981-07-31,
VannNi00,1993-03-06,
FeldBo00,1990-09-23,
BarwDi00,1922-12-25,1966-09-03
ElliWa20,1898-11-11,1954-03-25
DePoJe20,1946-07-06,
HillJi20,1929-07-21,2003-05-05
MurpJi20,1904-11-03,1993-12-17
MixoKe20,1975-05-31,
JoneMi22,1964-08-19,
DoucEa00,1985-10-28,
NisbDa20,1910-08-29,1976-12-10
WilsLa00,1938-03-24,
StarTo20,1966-08-07,
LestDa00,1940-11-06,2006-10-12
AvezJo20,1943-11-17,2012-04-05
GaylTr00,1977-11-03,
VersMi20,1971-10-24,
HorrBi20,1930-03-15,
PopeDe20,1982-05-04,
WillMa00,1984-04-13,
CarrJa20,1961-11-08,
VidaGe20,1895-04-13,1969-02-20
KittKu00,1980-01-23,
MataSt20,1963-06-24,
WhitPa01,1986-02-25,
BurkJe20,1921-07-15,1947-10-24
PlumCh20,1975-11-30,
KvatZv20,1911-10-18,1994-10-19
PricEr20,1950-09-20,2004-02-05
SwanSh20,1962-10-04,
HursBi20,1903-06-23,1966-11-00
CodySh20,1983-01-22,
ShofJi20,1935-12-18,
StarGe20,1948-07-18,
BesoWa20,1923-11-16,1959-10-25
BravDa00,1993-09-28,
PampKe00,1990-11-27,
SamxP.20,1983-12-26,
FourLe00,1995-01-18,
DonaGe20,1930-09-29,1992-08-16
GausQu00,1992-10-30,
CartMa20,1969-12-17,
TaylPh00,1988-04-07,
GillJo20,1958-11-05,
ElliCl20,1950-02-11,
LawrRe20,1970-04-12,
DeSaDa20,1918-09-21,2004-12-28
LewiJe01,1973-04-17,2013-01-05
BrouNe00,1982-11-04,
HoguDo01,1989-02-01,
GrieBo00,1945-02-03,
BoatBo20,1951-10-28,
CoxxBi20,1929-06-17,2017-05-14
MurpSh20,1982-12-17,
OwenAr00,1953-01-14,
GianJo20,1914-08-27,2000-05-24
WynnDe20,1981-02-25,
MathJe00,1983-07-26,
TurnT.21,1978-10-01,2014-03-10
HammHe20,1913-02-13,2004-08-19
DuffJi20,1896-06-25,1960-05-28
brownjos01,1979-04-29,
QuinMi00,1974-04-15,
BuchMi00,1991-01-24,
JoneEa20,1957-07-19,
WylaPu20,1891-06-05,1974-12-08
LomaJo20,1940-11-11,1999-02-16
NewsTi00,1958-05-17,
ScotCa20,1978-08-11,
DennDo00,1951-12-18,
SupeSt20,1963-08-09,
EifeTy00,1990-09-08,
EmanBe00,1970-10-26,
PalmTo00,1990-02-20,
MassMo00,1986-11-24,
MurpTo22,1899-05-02,1961-04-29
ReedJa02,1992-12-16,
HarrBo21,1960-11-11,
NashTo20,1905-11-22,1972-08-24
StatJi20,1927-05-23,1993-09-16
WomaBr20,1929-05-12,2014-02-24
FrieJa20,1896-03-23,1988-11-09
SaleTa20,1974-11-07,
WrigLa20,1973-09-06,
BattMi20,1946-07-09,
SmolIs00,1983-02-28,
SettMa20,1984-03-03,
PoseDa20,1956-04-01,
WeavGa20,1949-03-13,
GandDy20,1982-03-08,
BoydCh00,1991-12-16,
WorlTi00,1966-09-24,
GrifRu20,1964-02-05,
WillDa99,1987-06-01,
LawrHe00,1951-09-26,
FinnJi00,1976-12-09,
MillPa21,1913-01-23,1994-06-02
HickDo20,1955-06-11,
MahoRo20,1906-07-19,1981-03-12
PostBo20,1944-01-12,
CrosJe00,1966-03-25,
BakeMe00,1950-08-12,
HuarDa00,1973-07-09,
FitzRy00,1982-11-24,
WillSi20,1942-03-24,
YounFr00,1961-11-14,
NiesJo20,1967-02-13,
SchaJo20,1937-10-14,2017-09-25
KrueCh00,1937-01-28,
HameTe20,1901-10-04,1981-05-09
HarrLo20,1946-03-25,
JameJa01,1992-06-03,
HenrCh02,1989-01-06,
BrowKe00,1945-11-08,2001-01-11
SullKe20,1964-05-15,
MerzCu20,1938-04-17,
GarrJa00,1966-03-28,
FullBr00,1963-10-10,
PyeaJo20,1933-09-16,
WysoPe20,1948-10-03,2003-06-14
MoorDJ99,1987-03-22,
KeatCu00,1976-10-18,
HayeBr20,1973-03-11,
DykeHa00,1966-09-02,
LoydJe20,1980-07-30,
MelvDa20,1956-03-04,
BettTo20,1933-03-17,2015-02-28
StacRa20,1959-03-06,
PolaTr99,1981-04-19,
NorrJi21,1964-03-12,
RichTe20,1901-11-07,1978-12-01
BailRo21,1979-10-07,
AlphGe20,1964-05-21,
SmitJa05,1995-06-14,
EissAl20,,1954-11-19
ShouPa20,1925-10-09,2011-08-20
BankRo21,1965-11-29,
StolTo20,1931-06-28,
JeteGe20,1942-02-09,
BengBr20,1964-03-30,
SalaAn20,1905-09-30,1978-01-14
ChanJa98,1986-10-11,
HibbJe20,1906-01-11,1985-02-04
MoorLa20,1981-07-17,
KellCh20,1964-11-13,
OMahJi20,1941-03-29,
LarsKy20,1980-09-02,
StewJo04,1992-10-22,
JohnFr20,1953-12-20,
raynedav01,1982-10-26,
WillBr23,1957-10-14,
CareKa00,1992-10-30,
ArmsRa01,1991-03-05,
JoneDe02,1994-12-04,
FontCh00,1974-07-11,
BrowMa03,1993-05-15,
EdwaMa01,1994-04-19,
GepfSi20,1895-12-15,1924-09-09
GreeTy20,1986-04-06,
WoodKe20,1960-01-22,
KnoxMi20,1962-11-21,
WhitD.00,1993-09-09,
HowaBi20,1950-07-17,
LondMi20,1944-12-31,
EdelJu00,1986-05-22,
FullJa20,1969-08-05,
BoldLe20,1932-08-24,2008-10-31
BackKe00,1993-02-26,
McEvTa01,1993-01-26,
LeakJo20,1981-08-28,
DuncRa00,1937-03-15,2016-09-27
GuilTo20,1942-11-10,
DowdHa20,1922-12-29,1996-06-24
McBrTu99,1985-05-30,
SykeJo21,1949-05-13,
CobbPa00,1983-01-31,
AdicMa20,1961-04-22,
RobiJu20,1968-02-03,1995-09-30
SchrLa00,1947-08-11,
WillMa24,1963-10-11,
KubiLa20,1959-02-26,
NewsJa00,1987-11-05,
BrysSh00,1976-11-30,
CregBi20,1925-05-02,
HillJi00,1928-06-07,2006-08-29
PoweBi00,1988-10-27,
SuggSh20,1953-04-28,
CulvFr20,1897-04-24,1969-01-13
PharAr20,1908-07-21,1970-02-01
SnidMa21,1976-01-26,
KingTi20,1960-03-07,
ApplJi00,1938-07-14,
HayeGe20,1980-10-10,
SamuTo00,1954-12-30,2001-09-12
FrosKe20,1938-11-17,
AspeMa00,1985-11-08,
FlagTe00,1964-09-24,
SchuWa20,1895-09-30,
MarkCl20,1903-06-13,1972-07-17
BrowDe21,1974-04-28,
DarrCh20,1964-07-13,
WehbRa20,1916-08-16,2003-06-02
SlosPh20,1926-10-30,
HassHa20,1967-09-22,
HammBo20,1959-04-24,
SimmRo20,1956-11-08,2014-02-20
GradSa00,1964-02-10,
HartBi20,1915-03-17,2006-03-16
StriSc20,1951-08-05,
StokBr00,1976-06-23,
NzeoMa00,1990-01-19,
CollDw00,1961-08-23,
LyonPr20,1974-09-17,
StepJo00,1966-02-23,2009-09-01
BrowRe21,1970-05-05,
BoyeMa00,1962-09-16,
WestRh20,1966-06-07,
BowePh20,1894-10-22,1975-07-17
MickJo21,1965-12-25,
Warrxx20,,
MotoTa00,1994-08-18,
MimsDa00,1970-07-07,
DunnAn20,1980-07-01,
KupcIr20,1912-07-31,2003-11-10
OehlAr20,1905-11-24,1965-06-27
RediCo20,1964-01-07,
HodgJa00,1977-04-30,
FoleTi20,1958-05-30,
RembJo00,1961-01-19,
WhitBo22,1938-08-22,
TurnRe00,1966-01-05,
WoodRi21,1972-01-13,
CoucTi00,1977-07-31,
ColeDo20,1952-01-11,
IronGe20,1947-05-02,
WillMi05,1990-06-17,
GreeMi21,1961-06-29,
ClarDo20,1923-12-22,1989-08-06
MonrCa00,1960-02-20,1989-04-26
ThomJi20,1917-05-06,1981-06-00
SwanEv20,1902-10-15,1973-07-17
TaylCr00,1966-01-03,
CalhMi20,1957-05-06,1997-08-23
AlexRu20,1983-04-12,
DunnPa20,1948-07-14,
DextJa20,1973-03-03,
GageJu00,1981-01-24,
SamuCh20,1969-05-16,
PerkDo00,1938-03-04,
FurnSt20,1950-12-05,2000-02-10
BerrEd21,1963-09-28,
HartFr00,1967-12-15,
SchuKu21,1952-12-26,
SmitSe21,1967-05-29,
RubiRo00,1960-09-27,
LeoxJi20,1937-06-18,
MayoBe00,1991-08-03,
FeasGr20,1960-06-28,2012-07-15
PoweKe20,1969-06-05,
MannAr00,1949-05-19,
CoalDa00,1988-06-27,
EleyMo00,1949-04-17,
HultDo20,1940-12-16,
RobeCr00,1988-02-11,
ShelDo00,1952-08-26,
CassMa00,1982-05-17,
BullCo20,1978-09-02,
TeviLe20,1920-12-29,1992-08-23
McCrFr00,1972-09-19,
RedmJ.00,1977-09-28,
IlkiTu00,1957-09-23,
CadeEd20,1973-08-04,
SitkEm20,1923-09-07,1973-12-15
KlotMi20,1917-08-15,2008-04-17
McBaMi20,1946-05-29,
PardJa00,1936-04-19,2013-04-01
ThomPh00,1989-03-01,
DeGrJa00,1951-02-25,
VitaDa00,1993-10-23,
JeanRa20,1983-04-17,
BrowEd20,1952-02-19,
ElliDe01,1992-11-21,
RegeSh20,1963-04-14,
BankTe20,1961-02-17,
BondTr00,1990-12-10,
MilaAr20,1918-05-26,1991-08-12
McClAl00,1986-06-04,
PociJa00,1983-02-09,
SestTo00,1936-03-09,1987-04-03
BarsBr00,1992-04-24,
RichBa20,1986-05-15,
RilePe00,1988-05-03,
BartMi00,1970-06-23,
DitkMi00,1939-10-18,
AfflDi20,1929-06-27,1991-11-10
ParkLa00,1976-07-14,
PennTe20,1983-09-25,
StonKe20,1950-09-14,
ElliSh00,1977-06-24,
JohnDa08,1991-12-16,
HammMi20,1963-03-03,
HawtGr00,1956-09-05,
BaxlRo20,1969-03-14,
JoneBe01,1989-07-02,
HillTa00,1990-08-23,
CarsHo20,1957-02-11,
LyleKe20,1972-04-17,
ColeTe00,1945-07-07,2005-11-11
LastDo20,1958-12-13,
CromAn20,1984-04-15,
BellEd20,1921-09-20,1990-12-06
JoneWi21,1957-11-22,
BykoCa00,1990-07-25,
MoorKe21,1917-05-11,2003-12-01
BashMo20,1889-04-15,1933-06-05
ThomEd20,1966-05-04,
HarrAn98,1982-04-08,
ScotCo20,1963-04-26,
NafzDa20,1953-10-26,
SchmJo20,1918-08-12,1979-01-10
ClarHa00,1942-06-14,
JoneMa22,1894-12-10,1960-01-21
DaviKe21,1978-12-30,
LewiFr00,1947-07-04,
GranAl20,1966-10-01,
FredRo20,1971-05-13,
MageJi20,1920-11-27,2001-01-17
ReulKo00,1987-04-04,2016-12-12
CanaMa00,1994-05-26,
HeikRa20,1917-05-14,1990-01-11
TiptRi20,1961-07-31,
ClinJo20,1964-05-21,
DotsLi99,1985-02-11,
LongTo20,1899-08-07,1969-07-22
OlivVi20,1915-12-28,1985-08-28
BranJo20,1964-04-02,
PickCo00,1980-06-30,
AustBi20,1975-03-08,
MichCh00,1990-11-09,
MartRo21,1900-08-20,1961-10-25
HatcDa20,1963-04-05,
SweeSt00,1950-09-06,
WeilJa20,1962-03-16,
WrotMa20,1984-10-12,
GoodDe01,1991-03-08,
SchuSc20,1963-08-31,
CherRa20,1961-12-19,
MurpRo20,1977-01-18,
KnigLe20,1963-02-16,
DollTo20,1962-10-18,
BankFr00,1962-05-26,
LeftBy00,1980-01-14,
SimsJa00,1983-02-14,
GallRo20,1980-07-26,
TothTo20,1962-05-23,
El-MHi20,1972-05-11,
WisnSt00,1967-04-07,
FultKe20,1899-06-04,1948-03-11
ThomTo20,1959-12-02,2000-03-05
KiwaMa20,1983-03-08,
DowlBr00,1947-04-01,
HarvWa20,1947-03-26,
CappJo00,1952-08-09,
DunbKa20,1967-05-18,
KoneFl20,1920-05-26,1987-11-15
ChamEd20,1921-12-04,2003-06-15
HodgDr20,1981-11-15,
EkelAu00,1995-05-17,
PeabDw20,1894-01-26,1972-01-03
McCaDo01,1944-09-21,
AlleCh00,1939-09-07,2016-12-15
MorgDo00,1981-07-29,
BurkRe00,1990-07-02,
WeslGr20,1978-03-19,
McCrJu00,1992-05-31,
knorrmic01,1975-01-09,
CrisCr20,1959-02-03,
SharHu01,1994-04-25,
MickDa20,1970-08-03,
LoweWo20,1954-06-09,
MianRi20,1962-09-03,
LaRoPa20,1892-03-30,1923-06-06
AlfoLy20,1963-08-22,
GoodDa20,1960-11-02,
WoodLe20,1910-04-04,1947-02-22
MilaBa20,1906-01-04,1979-12-18
EppsTo20,1967-05-28,2005-06-01
GiddWi20,1914-11-25,1959-02-12
MatsAr00,1934-11-22,
SparDa20,1959-05-28,
BurkSc20,1956-08-02,
DowdSt20,1929-02-24,2001-01-24
ArchLe20,1967-06-27,
RoexJa00,1973-08-23,
GlasLe00,1950-11-05,
TownAn20,1962-10-08,
LeroEm20,1975-07-31,
HefnLa20,1949-08-02,
ThurWa99,1987-08-12,
WhitGe22,1964-12-09,
DaviRe00,1976-09-03,
HastJo00,1987-05-05,
ShelRi20,1966-01-02,
NygrBe20,1918-11-14,1984-12-26
MerrJa00,1990-05-09,
RobeSe00,1991-02-22,
RichRo20,1958-01-07,
WalsBl00,1990-01-08,
BrigWa20,1965-08-06,
ColtLl20,1931-08-26,2011-05-02
DuttBi20,1918-12-09,1951-08-02
McCaMa99,1983-09-03,
JohnMa23,1964-03-20,
HartHa00,1952-07-13,
BingCr20,1959-09-26,
DixoDe00,1985-01-11,
BanoVi20,1921-04-09,2010-10-23
JoneAa00,1994-12-02,
SnelDo20,1965-03-13,
UhleJe20,1966-01-28,
MataBi20,1943-12-06,
RobbBa00,1973-08-26,
BennFr99,1983-12-31,
MorrCh21,1983-02-22,
MitcKe20,1948-11-14,
SmitOr20,1905-11-05,1977-08-14
WillWi20,1967-08-06,
CeleBo00,1927-06-01,1975-03-09
KernJo20,1923-06-10,1988-06-10
WalkDo20,1950-12-26,
WilcJo20,1938-03-15,
UrbaBr00,1991-05-05,
ScotBe00,1984-02-10,
WoodRo21,1950-07-26,
LaFiBi20,1920-11-23,
JackAl00,1955-08-03,
EdwaKa00,1991-01-24,
CherHa20,1907-03-07,1983-01-31
OTooBi20,1902-06-16,
ArmsBr00,1965-09-07,
McKiSt20,1975-10-15,
FranBr20,1979-12-22,
HumpTo21,1962-12-16,
NeviTo00,1943-08-12,
ChriPa20,1918-03-05,1970-03-02
TapeTh00,1980-03-28,
MihaLo20,1925-02-19,1994-12-11
GreeMa21,1957-12-12,
JohnJo04,1972-07-11,
VaugJo00,1970-03-12,
SeawJo20,1982-04-12,
DaviTr21,1966-05-10,
CostTo20,1941-05-23,
WillEr22,1955-06-17,
LemoMi20,1951-02-26,
CoopMa20,1960-02-14,
RossBr00,1989-09-28,
PadjGa20,1958-07-02,
LotuJo00,1991-12-04,
HollJo20,1965-03-11,
MooeDo20,1947-03-11,
